"ID","MonthlyIncome"
871,5626.09088433726
872,2787.16731695342
873,13024.9941355503
874,2333.68025348135
875,2772.99758213445
876,5095.87692655825
877,5474.30665422501
878,2296.71339353014
879,2934.43355382886
880,13290.1345943044
881,9947.30734205532
882,2824.98937417543
883,5627.66805846047
884,5530.18460120005
885,5851.62078760462
886,5663.67295775648
887,5913.45388104055
888,5803.79830302705
889,4678.93747921426
890,2838.64646414122
891,4781.60219720084
892,9078.51721918452
893,9019.93693005999
894,5437.6575698092
895,9962.12741603059
896,9348.99788045696
897,9016.77494054555
898,15905.8953524229
899,5747.51988430077
900,2897.12365379552
901,2775.48036617548
902,5718.21283138749
903,6179.14541424096
904,2822.50659013441
905,16443.2403183162
906,5396.54363828939
907,9503.98879050442
908,5892.29328619467
909,2530.37745664312
910,2695.04536990319
911,19341.0102952828
912,2807.16119822406
913,2734.9451268256
914,12510.3929703839
915,5787.88120960455
916,4385.57025482703
917,2758.24300167002
918,5607.7559689682
919,2490.18996491249
920,2876.89546970357
921,2627.20357732037
922,2487.09191436856
923,4635.02959036716
924,4471.01830345638
925,16900.6784306771
926,2871.33639266094
927,5852.55430746343
928,12996.7942364871
929,2163.08132874516
930,2662.96307869962
931,5792.8641144604
932,12476.7305822802
933,9127.40388061193
934,2507.29386945524
935,2482.42431507452
936,2478.61867129567
937,9463.57537214989
938,9418.33561409489
939,5190.46482142059
940,2463.7047792675
941,3125.14035469817
942,9172.24528931784
943,9797.74928572216
944,5665.22882418783
945,2351.57022942151
946,5592.64004120853
947,2488.0117519086
948,2709.674115778
949,2758.84662671744
950,5519.19602370612
951,2787.36556737001
952,5812.06272251616
953,5673.89523176017
954,2480.43545436155
955,4236.82619323386
956,7848.17761090731
957,10425.144433576
958,2469.71008937868
959,9563.94612697
960,19964.0751620487
961,2921.43062643662
962,4797.2147195862
963,5913.68688773408
964,4806.5459020919
965,2753.94343456312
966,19434.9992820506
967,2785.92262380834
968,9077.90147486111
969,16576.137113659
970,2729.70543761076
971,5698.99465281137
972,5778.56822498481
973,2525.3271197192
974,2601.26704311812
975,5661.81252028799
976,2830.50311587972
977,6267.46369332188
978,2924.54235929931
979,9482.8495033504
980,19103.1348448609
981,2645.25522934415
982,9266.23427608568
983,2629.65638927755
984,2581.3783921039
985,5720.77378202125
986,2781.80580674323
987,2614.05109598607
988,5764.10958094756
989,9460.94855314516
990,2785.66170717381
991,4804.06311805088
992,2937.97006643166
993,4830.23052816046
994,5442.94912796817
995,5231.33170104479
996,5007.93719708252
997,2709.95737912328
998,16667.6880616057
999,9216.46435145121
1000,2486.15839450975
1001,5080.62338355941
1002,4256.87307448605
1003,4840.18908857449
1004,6307.59164841498
1005,3082.71275434454
1006,5702.05612902232
1007,2443.12008655094
1008,5918.737224658
1009,19150.7265564915
1010,4827.45082089534
1011,9384.12795519404
1012,4889.64123767357
1013,5883.28880356357
1014,4583.89315159225
1015,5559.36983311798
1016,2871.38664931269
1017,2871.95873923348
1018,9077.59030157484
1019,9124.86423767003
1020,2309.6473333297
1021,5859.08234422596
1022,5276.1731097507
1023,4662.64184910912
1024,9491.39638580393
1025,16163.2794933694
1026,18609.9586844492
1027,4694.15043561139
1028,5517.4005483321
1029,5471.62561976739
1030,8667.81355346705
1031,5536.43758915883
1032,3022.99087154517
1033,12583.314269625
1034,2666.69314454058
1035,4343.67739946239
1036,2691.31129046795
1037,5562.86430361055
1038,8307.21524410217
1039,12523.4892873554
1040,5871.35617301019
1041,2571.72439485646
1042,2922.67531958169
1043,8987.85722751128
1044,6265.45558215555
1045,2540.07784258463
1046,2359.08462099078
1047,5847.14070420249
1048,12293.3252061668
1049,2921.69154307114
1050,5717.09656148689
1051,10261.3344622368
1052,2574.16352449487
1053,5675.76227147779
1054,2894.63426750536
1055,2779.36667710482
1056,2774.85801960294
1057,5704.75897933529
1058,16260.7629506299
1059,5150.65502811348
1060,2921.11945315035
1061,5032.30622588605
1062,5843.32845817452
1063,6003.05853185963
1064,2643.12067074287
1065,5680.31034565302
1066,2728.77191775196
1067,3443.58019488546
1068,19407.5919947396
1069,5484.1051015982
1070,2696.9861047506
1071,2645.24862709501
1072,6075.64731483893
1073,2533.16433390078
1074,5916.24783836785
1075,5636.06973718975
1076,16470.9199404545
1077,19150.7265564915
1078,4678.93747921426
1079,4825.8212593342
1080,5068.93530815359
1081,3015.78104314248
1082,2805.88496995235
1083,2410.75155742672
1084,6065.1940813291
1085,9050.58031914581
1086,9440.28865735087
1087,5718.33465238284
1088,2987.79024771788
1089,2985.612034714
1090,5563.48665018309
1091,5625.18527441944
1092,5793.48646103294
1093,12399.1674290535
1094,5676.55471988788
1095,5349.31255621597
1096,5850.19557816431
1097,3397.5361351447
1098,2669.16380930562
1099,2777.91949581389
1100,5967.60827436619
1101,18919.3625273777
1102,5674.07193584686
1103,5703.18129704859
1104,10177.6875946585
1105,3014.5363499974
1106,2796.48480926979
1107,3072.81206808479
1108,4653.61519626152
1109,5467.50880270228
1110,5719.57934552792
1111,5719.50037855433
1112,12671.7756115953
1113,12645.5897997259
1114,6128.37040540407
1115,9764.0375259589
1116,2843.80900201672
1117,6331.31831659377
1118,4161.10113076496
1119,9695.51149118443
1120,2735.87156661477
1121,9584.84199297283
1122,16180.5449238112
1123,4682.82379014359
1124,16015.851689265
1125,2651.08722440435
1126,2255.90355522697
1127,2543.06099620758
1128,4549.96411559765
1129,16286.6257897023
1130,2682.99698918724
1131,12443.1173600109
1132,16166.1079628869
1133,5781.99113113378
1134,2392.93084995362
1135,2805.28794466594
1136,2727.22265356974
1137,3188.64915975126
1138,5671.81555625023
1139,9396.77010838278
1140,16135.9121353348
1141,5916.55901165412
1142,5903.6125796456
1143,9855.27620980206
1144,5562.9145602623
1145,4784.07286196587
1146,5660.01527989284
1147,4434.45691625444
1148,2595.75330141383
1149,2667.2734490029
1150,5870.4308676929
1151,2664.14040844834
1152,5603.01680533055
1153,5054.57408116244
1154,2394.86945401484
1155,6154.08063812228
1156,12813.6832673775
1157,2554.59024771416
1158,5026.65485008145
1159,2893.43983101202
1160,5846.51835762995
1161,2926.09822573066
1162,9101.97767455524
1163,2798.42082467615
1164,9192.59401182586
1165,2843.49782873045
1166,2363.69536138395
1167,9325.31706659693
1168,5564.4201700419
1169,2846.37655489961
1170,3078.40658498851
